location,fieldkeytup,type,function,arguments,readout
coin.results[:comp2r_v1_r_v1_ex_POC],"(:results, :comp2r_v1_r_v1_ex_POC)",DataFrame,compareresults!,"Any[:r_v1, [:r_minmax, :r_noproduct, :r_v1_ex_OZONE, :r_v1_ex_POC], StatsBase.competerank, String15[""SenPop"", ""SEFac"", ""EnvCond"", ""EnvExp"", ""PopChar"", ""PolBur"", ""Index""]]",
coin.results[:comp2r_v1_r_v1_ex_OZONE],"(:results, :comp2r_v1_r_v1_ex_OZONE)",DataFrame,compareresults!,"Any[:r_v1, [:r_minmax, :r_noproduct, :r_v1_ex_OZONE, :r_v1_ex_POC], StatsBase.competerank, String15[""SenPop"", ""SEFac"", ""EnvCond"", ""EnvExp"", ""PopChar"", ""PolBur"", ""Index""]]",
coin.results[:comp2r_v1_r_noproduct],"(:results, :comp2r_v1_r_noproduct)",DataFrame,compareresults!,"Any[:r_v1, [:r_minmax, :r_noproduct, :r_v1_ex_OZONE, :r_v1_ex_POC], StatsBase.competerank, String15[""SenPop"", ""SEFac"", ""EnvCond"", ""EnvExp"", ""PopChar"", ""PolBur"", ""Index""]]",
coin.results[:comp2r_v1_r_minmax],"(:results, :comp2r_v1_r_minmax)",DataFrame,compareresults!,"Any[:r_v1, [:r_minmax, :r_noproduct, :r_v1_ex_OZONE, :r_v1_ex_POC], StatsBase.competerank, String15[""SenPop"", ""SEFac"", ""EnvCond"", ""EnvExp"", ""PopChar"", ""PolBur"", ""Index""]]",
coin.results[:pca_EnvExp],"(:results, :pca_EnvExp)",PCA{Float64},indicatorpca!,"Any[:r_v1, String15[""CANCER"", ""HI"", ""OZONE"", ""PM25"", ""DSLPM"", ""PTRAF"", ""RSEI_AIR"", ""EBLL""], :pca_EnvExp, 2, true]",
coin.results[:cor_linEnvExp],"(:results, :cor_linEnvExp)",DataFrame,indicatorcorrelation!,"Any[:r_v1, String15[""CANCER"", ""HI"", ""OZONE"", ""PM25"", ""DSLPM"", ""PTRAF"", ""RSEI_AIR"", ""EBLL"", ""EnvExp"", ""PolBur"", ""Index""], :cor_linEnvExp, ""cor"", true]",
coin.results[:pca_EnvCond],"(:results, :pca_EnvCond)",PCA{Float64},indicatorpca!,"Any[:r_v1, String15[""Freight"", ""PWDis"", ""Waste"", ""Psites"", ""RMP"", ""TRI"", ""CF""], :pca_EnvCond, 2, true]",
coin.results[:cor_linEnvCond],"(:results, :cor_linEnvCond)",DataFrame,indicatorcorrelation!,"Any[:r_v1, String15[""Freight"", ""PWDis"", ""Waste"", ""Psites"", ""RMP"", ""TRI"", ""CF"", ""EnvCond"", ""PolBur"", ""Index""], :cor_linEnvCond, ""cor"", true]",
coin.results[:pca_SEFac],"(:results, :pca_SEFac)",PCA{Float64},indicatorpca!,"Any[:r_v1, String15[""POC"", ""NoIns"", ""HBLI"", ""LowInc"", ""LowEd"", ""Unemp"", ""LingIso""], :pca_SEFac, 2, true]",
coin.results[:cor_linSEFac],"(:results, :cor_linSEFac)",DataFrame,indicatorcorrelation!,"Any[:r_v1, String15[""POC"", ""NoIns"", ""HBLI"", ""LowInc"", ""LowEd"", ""Unemp"", ""LingIso"", ""SEFac"", ""PopChar"", ""Index""], :cor_linSEFac, ""cor"", true]",
