Asthma,CHD,Disability,LBW,OldAge,YoungAge,POC,NoIns,HBLI,LowInc,LowEd,Unemp,LingIso,Freight,PWDis,Waste,Psites,RMP,TRI,CF,CANCER,HI,PM25,DSLPM,PTRAF,RSEI_AIR,EBLL,SenPop,SEFac,EnvCond,EnvExp,PopChar,PolBur,Index
0.6561,0.3666,0.7016,0.7674,0.3767,0.201,0.3947,0.8066,0.5057,0.756,0.4867,0.4387,0.5221,0.4033,0.799,0.0,0.2958,0.0,0.0,0.1795,0.0,0.0683,0.0,0.0,0.6599,0.0,0.7901,0.5115666666666666,0.5586428571428571,0.23965714285714287,0.2169,0.5351047619047619,0.2244857142857143,0.12012337469387754
0.6625,0.4286,0.3552,0.6359,0.1037,0.9027,0.5046,0.641,0.6574,0.8761,0.5866,0.2339,0.756,0.6321,0.8217,0.0,0.5461,0.0,0.4576,0.5057,0.0,0.2099,0.0063,0.0063,0.5196,0.0101,0.7775,0.5147666666666666,0.6079428571428572,0.4233142857142857,0.21852857142857143,0.5613547619047619,0.2867904761904762,0.16099119947845805
0.6359,0.7004,0.7383,0.7105,0.5044,0.5158,0.4821,0.9482,0.8306,0.574,0.7042,0.6334,0.7307,0.5777,0.8053,0.0,0.5727,0.0,0.5386,0.4197,0.0,0.1618,0.0025,0.0038,0.2895,0.0063,0.7914,0.6342166666666668,0.7004571428571428,0.4162857142857143,0.17932857142857145,0.6673369047619048,0.2583142857142857,0.17238265588435375
0.536,0.6068,0.4083,0.4248,0.933,0.0973,0.3497,0.9659,0.5461,0.3869,0.5284,0.2389,0.665,0.3249,0.7876,0.0,0.6561,0.0,0.4235,0.2212,0.0,0.1214,0.0013,0.0013,0.622,0.0013,0.7889,0.5010333333333333,0.5258428571428572,0.3447571428571429,0.21945714285714285,0.5134380952380952,0.2612238095238095,0.13412225519274376
0.6308,0.1656,0.5613,0.397,0.1113,0.0063,0.1351,0.4551,0.7269,0.7181,0.1378,0.2099,0.445,0.0,0.7737,0.0,0.22,0.0,0.2314,0.1226,0.0,0.1201,0.0051,0.0051,0.7699,0.0076,0.7876,0.31205,0.4039857142857142,0.19252857142857144,0.2422,0.3580178571428571,0.22564285714285715,0.08078417219387754
0.531,0.2769,0.7282,0.5247,0.4362,0.134,0.2331,0.6448,0.6802,0.3363,0.0455,0.4298,0.5209,0.1909,0.7863,0.0,0.2478,0.0,0.3161,0.1163,0.0,0.1631,0.0038,0.0025,0.7459,0.0126,0.7863,0.43849999999999995,0.4129428571428572,0.23677142857142858,0.2448857142857143,0.4257214285714286,0.24218095238095239,0.10310162102040817
0.6182,0.2035,0.5082,0.2819,0.0999,0.0733,0.2503,0.737,0.665,0.7118,0.1542,0.0733,0.5284,0.1745,0.7826,0.5815,0.0771,0.0,0.2528,0.1011,0.0,0.2276,0.0076,0.0101,0.7295,0.024,0.7813,0.2975,0.44571428571428573,0.28137142857142855,0.2543,0.37160714285714286,0.2633238095238095,0.09785300850340135
0.6612,0.9418,0.914,0.3312,0.9241,0.0518,0.1033,0.0733,0.7598,0.9886,0.6662,0.1871,0.6043,0.1757,0.7813,0.579,0.0,0.0,0.2086,0.22,0.0,0.2415,0.0139,0.0139,0.7168,0.0379,0.7826,0.63735,0.48322857142857145,0.2806571428571429,0.2580857142857143,0.5602892857142857,0.2656095238095238,0.14881817037414966
0.5929,0.3009,0.0076,0.512,0.1757,0.244,0.306,0.6169,0.6764,0.5853,0.2819,0.0708,0.5107,0.3881,0.7889,0.713,0.2516,0.0,0.5575,0.3995,0.0,0.225,0.0101,0.0114,0.1681,0.0341,0.7838,0.30551666666666666,0.43542857142857144,0.4426571428571429,0.17607142857142857,0.3704726190476191,0.26493333333333335,0.09815054587301589
0.4374,0.2579,0.3059,0.3818,0.5221,0.3704,0.4225,0.8736,0.6119,0.2946,0.6308,0.2642,0.7155,0.6346,0.818,0.7901,0.2137,0.0,0.6422,0.4501,0.0,0.2238,0.0152,0.0152,0.6485,0.043,0.7788,0.37925000000000003,0.5447285714285715,0.5069571428571429,0.24635714285714286,0.46198928571428577,0.33322380952380953,0.15394582974489798
0.5803,0.2314,0.1808,0.3628,0.0329,0.9317,0.5099,0.7775,0.7863,0.5967,0.7472,0.4488,0.8104,0.5866,0.8028,0.7509,0.2263,0.0,0.708,0.5259,0.0,0.1947,0.0114,0.0088,0.3843,0.0291,0.7851,0.38665,0.6681142857142858,0.5143571428571428,0.2019142857142857,0.5273821428571429,0.30606190476190476,0.16141158318027213
0.5487,0.4096,0.4387,0.5815,0.4728,0.2503,0.5205,0.8925,0.8344,0.6068,0.6865,0.5563,0.866,0.2453,0.842,0.0,0.1466,0.0,0.2099,0.536,0.0,0.1707,0.0088,0.0126,0.7446,0.019,0.7345,0.45026666666666665,0.7089999999999999,0.28282857142857143,0.24145714285714287,0.5796333333333332,0.25524761904761906,0.14795002825396822
0.2933,0.5828,0.2528,0.2453,0.5107,0.9418,0.3828,0.799,0.201,0.2326,0.6359,0.2326,0.7143,0.2174,0.9001,0.8243,0.5563,0.0,0.6271,0.5272,0.0,0.1694,0.019,0.024,0.2503,0.0316,0.7434,0.47111666666666663,0.45688571428571434,0.5217714285714286,0.17681428571428573,0.4640011904761905,0.2918,0.13539554738095239
0.3047,0.9507,0.7851,0.1302,0.9102,0.8521,0.0887,0.6258,0.5638,0.397,0.2516,0.5095,0.6865,0.2149,0.9747,0.67,0.3527,0.0,0.6334,0.0303,0.0,0.2705,0.0405,0.0468,0.3224,0.1504,0.732,0.6555000000000001,0.44612857142857143,0.41085714285714287,0.22322857142857142,0.5508142857142857,0.28577142857142857,0.15740698530612243
0.3325,0.6195,0.2971,0.3161,0.8116,0.9191,0.1854,0.2592,0.2743,0.1909,0.2149,0.6511,0.579,0.0,0.8673,0.0,0.1858,0.0,0.1884,0.1694,0.0,0.2326,0.0278,0.0215,0.4298,0.0784,0.7332,0.5493166666666668,0.3364,0.20155714285714282,0.2176142857142857,0.44285833333333335,0.21226190476190476,0.09400195337301588
0.4387,0.4589,0.1479,0.3236,0.6018,0.4109,0.4358,0.9001,0.7054,0.5424,0.5335,0.3186,0.7813,0.3186,0.8357,0.708,0.091,0.0,0.4008,0.2238,0.0,0.2339,0.0228,0.0177,0.641,0.0556,0.7421,0.39696666666666663,0.6024428571428572,0.3682714285714285,0.2447285714285714,0.4997047619047619,0.2859095238095238,0.14287035052154193
0.6018,0.6991,0.464,0.6523,0.512,0.8989,0.5629,0.9305,0.885,0.8003,0.7863,0.5209,0.9368,0.4614,0.823,0.8799,0.0936,0.0,0.6283,0.1896,0.0,0.2655,0.0303,0.0228,0.5411,0.3186,0.737,0.6380166666666667,0.7746714285714286,0.43939999999999996,0.27361428571428575,0.7063440476190477,0.3288761904761905,0.23229973954648528
0.6094,0.7598,0.3654,0.2769,0.6195,0.9064,0.2212,0.4804,0.5727,0.7699,0.4235,0.5676,0.7257,0.0,0.9077,0.0,0.7004,0.0,0.3451,0.1757,0.0,0.2769,0.0468,0.0569,0.287,0.22,0.7358,0.5895666666666667,0.5372857142857143,0.3041285714285714,0.2319142857142857,0.5634261904761905,0.25598571428571426,0.1442290558163265
