Asthma,CHD,Disability,LBW,OldAge,YoungAge,NoIns,HBLI,LowInc,LowEd,Unemp,LingIso,Freight,PWDis,Waste,Psites,RMP,TRI,CF,CANCER,HI,OZONE,PM25,DSLPM,PTRAF,RSEI_AIR,EBLL,SenPop,SEFac,EnvCond,EnvExp,PopChar,PolBur,Index
0.6561,0.3666,0.7016,0.7674,0.3767,0.201,0.8066,0.5057,0.756,0.4867,0.4387,0.5221,0.4033,0.799,0.0,0.2958,0.0,0.0,0.1795,0.0,0.0683,1.0,0.0,0.0,0.6599,0.0,0.7901,0.5115666666666666,0.5859666666666666,0.23965714285714287,0.3147875,0.5487666666666666,0.28974404761904765,0.15900187519841272
0.6625,0.4286,0.3552,0.6359,0.1037,0.9027,0.641,0.6574,0.8761,0.5866,0.2339,0.756,0.6321,0.8217,0.0,0.5461,0.0,0.4576,0.5057,0.0,0.2099,0.9772,0.0063,0.0063,0.5196,0.0101,0.7775,0.5147666666666666,0.6251666666666668,0.4233142857142857,0.3133625,0.5699666666666667,0.35001309523809526,0.1994957971825397
0.6359,0.7004,0.7383,0.7105,0.5044,0.5158,0.9482,0.8306,0.574,0.7042,0.6334,0.7307,0.5777,0.8053,0.0,0.5727,0.0,0.5386,0.4197,0.0,0.1618,0.9899,0.0025,0.0038,0.2895,0.0063,0.7914,0.6342166666666668,0.73685,0.4162857142857143,0.28064999999999996,0.6855333333333333,0.32586190476190474,0.22338919777777777
0.536,0.6068,0.4083,0.4248,0.933,0.0973,0.9659,0.5461,0.3869,0.5284,0.2389,0.665,0.3249,0.7876,0.0,0.6561,0.0,0.4235,0.2212,0.0,0.1214,0.9987,0.0013,0.0013,0.622,0.0013,0.7889,0.5010333333333333,0.5552,0.3447571428571429,0.31686250000000005,0.5281166666666667,0.3261607142857143,0.1722509092261905
0.6308,0.1656,0.5613,0.397,0.1113,0.0063,0.4551,0.7269,0.7181,0.1378,0.2099,0.445,0.0,0.7737,0.0,0.22,0.0,0.2314,0.1226,0.0,0.1201,0.9975,0.0051,0.0051,0.7699,0.0076,0.7876,0.31205,0.44880000000000003,0.19252857142857144,0.33661250000000004,0.380425,0.2885845238095239,0.10978476747023812
0.531,0.2769,0.7282,0.5247,0.4362,0.134,0.6448,0.6802,0.3363,0.0455,0.4298,0.5209,0.1909,0.7863,0.0,0.2478,0.0,0.3161,0.1163,0.0,0.1631,0.9949,0.0038,0.0025,0.7459,0.0126,0.7863,0.43849999999999995,0.4429166666666668,0.23677142857142858,0.3386375,0.44070833333333337,0.30468214285714285,0.134275959375
0.6182,0.2035,0.5082,0.2819,0.0999,0.0733,0.737,0.665,0.7118,0.1542,0.0733,0.5284,0.1745,0.7826,0.5815,0.0771,0.0,0.2528,0.1011,0.0,0.2276,0.9937,0.0076,0.0101,0.7295,0.024,0.7813,0.2975,0.4782833333333334,0.28137142857142855,0.346725,0.3878916666666667,0.32494047619047617,0.12604170287698413
0.6612,0.9418,0.914,0.3312,0.9241,0.0518,0.0733,0.7598,0.9886,0.6662,0.1871,0.6043,0.1757,0.7813,0.579,0.0,0.0,0.2086,0.22,0.0,0.2415,0.9836,0.0139,0.0139,0.7168,0.0379,0.7826,0.63735,0.54655,0.2806571428571429,0.348775,0.59195,0.3260690476190476,0.19301657273809522
0.5929,0.3009,0.0076,0.512,0.1757,0.244,0.6169,0.6764,0.5853,0.2819,0.0708,0.5107,0.3881,0.7889,0.713,0.2516,0.0,0.5575,0.3995,0.0,0.225,0.9874,0.0101,0.0114,0.1681,0.0341,0.7838,0.30551666666666666,0.457,0.4426571428571429,0.2774875,0.38125833333333337,0.3325440476190476,0.12678518935515873
0.4374,0.2579,0.3059,0.3818,0.5221,0.3704,0.8736,0.6119,0.2946,0.6308,0.2642,0.7155,0.6346,0.818,0.7901,0.2137,0.0,0.6422,0.4501,0.0,0.2238,0.9785,0.0152,0.0152,0.6485,0.043,0.7788,0.37925000000000003,0.5650999999999999,0.5069571428571429,0.33787500000000004,0.472175,0.3942357142857143,0.18614824839285715
