CT_FIPS,PM25,OZONE,DSLPM,CANCER,RSEI_AIR,PTRAF,HI,EBLL,Freight,TRI,RMP,Psites,Waste,PWDis,CF,POC,NoIns,HBLI,LowInc,LowEd,Unemp,LingIso,CHD,Asthma,Disability,YoungAge,OldAge,LBW
17031010100,9.28303589,67.50705,0.35471163,20,4570.559078,282.503158,0.54032766,3.120519842,0.075958547,0,0,0.052722161,0,39.70265833,0.046403504,0.595941773,14.68799279,0.354624637,0.267402568,12.1,6.607773852,8,4.400028644,10.89996094,0.140797477,0.140572201,0.102337891,10.79991677
17031010201,9.349178356,67.21226,0.363590977,20,4873.406962,206.7747216,0.570428631,3.120339829,0.217364998,146151.3946,0,0.159581386,0,54.3128207,0.309283878,0.748056365,10.82856795,0.406875834,0.352719309,14.2,4.036458333,21.8,4.699989665,10.9998668,0.083465142,0.301739871,0.055272109,8.400059566
17031010202,9.325459726,67.31251,0.35973323,20,4813.787361,133.0615365,0.560326952,3.120588233,0.187654824,513845.1351,0,0.176184157,0,42.40449165,0.206510852,0.711267606,22.31230173,0.488654781,0.182012087,18.8,10.53921569,19.3,6.099921761,10.49995956,0.150863588,0.211843497,0.123239437,9.699637304
17031010300,9.307220274,67.44816,0.357464329,20,4709.536102,257.2054048,0.550337643,3.12047581,0.039845932,70876.61601,0,0.223296711,0,36.41399735,0.067229954,0.533935908,23.62690306,0.370617696,0.118134515,12.9,4.112426036,15.4,5.500584174,9.401272444,0.090383504,0.099633841,0.239769926,6.104262745
17031010400,9.338973425,67.43378,0.36342334,20,4867.416781,444.0762033,0.550329283,3.120467591,0,0.001849574,0,0.029258642,0,31.1640194,0.024287264,0.271419228,7.673860911,0.439036382,0.237462637,2.9,3.70058873,5.8,3.000188535,10.39996083,0.114017877,0.024852845,0.057117942,5.800129412
17031010501,9.333871233,67.41646,0.359273775,20,4904.673813,370.4088821,0.560329869,3.120467313,0.004943172,0.01376728,0,0.035953812,0,34.37338194,0.022405633,0.399063347,10.9001233,0.418204182,0.102589396,0.8,6.36457973,7.9,3.899972596,9.400072561,0.148212084,0.116152898,0.110919399,6.900027349
17031010502,9.360226301,67.35939,0.368978615,20,4984.162698,347.2538367,0.580335747,3.120466691,0.003489848,0.003309386,0,0.001234503,0.000974597,33.52359649,0.017610729,0.413352273,12.74857955,0.411306043,0.23377097,3.2,1.958814666,8.2,3.300141585,10.19989345,0.103693182,0.082741477,0.053977273,5.000464093
17031010503,9.388193151,67.28674,0.37327697,20,5208.447971,337.4118346,0.590333673,3.120467001,0.003546711,0.000945929,0,0,0.000945929,33.13990961,0.067003613,0.246562786,1.924839597,0.451948052,0.552703941,17.2,3.448275862,11.2,8.099104663,10.99983885,0.214023831,0.064619615,0.233272227,5.400097335
17031010600,9.367749589,67.30526,0.369065875,20,5156.388194,89.14796553,0.580329768,3.120467059,0.068268914,668627.7115,0,0.036509086,0.018577993,37.13532423,0.185468852,0.467419503,10.37117904,0.416866644,0.184185901,6.4,1.956468574,7.6,4.000756735,9.800203637,0.016063631,0.152370555,0.069586449,6.799871459
17031010701,9.388590137,67.21342,0.374937607,20,5236.178389,275.6500229,0.580329016,3.120389903,0.219047494,1381481.431,0,0.027359556,0.042325717,51.1011837,0.238292671,0.632473944,17.443774,0.393861893,0.094624246,15.8,4.272151899,18.6,3.80004798,9.000120564,0.077070762,0.18568294,0.125068568,5.70031345
